root_domain,host,endpoint,server_name,server_version,protocol_version,authorization_endpoint,token_endpoint,registration_endpoint,dynamic_client_registration,issuer,prm_url,scopes,http_status,verdict
amd.com,vivado.amd.com,https://vivado.amd.com/mcp/doc-search,Vivado Doc Search,0.9.1,2025-06-18,https://vivado.amd.com/authorize,https://vivado.amd.com/token,https://vivado.amd.com/register,True,https://vivado.amd.com,,,200,open
appfront.ai,mcp.appfront.ai,https://mcp.appfront.ai/api/mcp,,,,https://mcp.appfront.ai/api/mcp/oauth/authorize,https://mcp.appfront.ai/api/mcp/oauth/token,https://mcp.appfront.ai/api/mcp/oauth/register,True,https://mcp.appfront.ai/api/mcp,https://mcp.appfront.ai/api/mcp/.well-known/oauth-protected-resource,"analytics:read,analytics:meta,prompts:read",401,auth_required
arabiaweather.com,mcp.devops.arabiaweather.com,https://mcp.devops.arabiaweather.com/mcp,MODMS forecast data,,,https://mcp.devops.arabiaweather.com/authorize,https://mcp.devops.arabiaweather.com/token,https://mcp.devops.arabiaweather.com/register,True,https://mcp.devops.arabiaweather.com/,https://mcp.devops.arabiaweather.com/.well-known/oauth-protected-resource/mcp,forecast,401,auth_required
backworkai.com,mcp.verity.backworkai.com,https://mcp.verity.backworkai.com/mcp,Verity MCP,,,https://verity.backworkai.com/api/oauth/authorize,https://verity.backworkai.com/api/oauth/token,https://verity.backworkai.com/api/oauth/register,True,https://verity.backworkai.com,https://mcp.verity.backworkai.com/.well-known/oauth-protected-resource/mcp,"verity:mcp,read",401,auth_required
brickpicker.com,mcp.brickpicker.com,https://mcp.brickpicker.com/mcp,brickpicker,0.1.0,2025-06-18,https://app.brickpicker.com/oauth/authorize,https://mcp.brickpicker.com/oauth/token,https://mcp.brickpicker.com/oauth/register,True,https://mcp.brickpicker.com,https://mcp.brickpicker.com/.well-known/oauth-protected-resource/mcp,"catalog:read,market:read,brickfolio:read,retail_watch:read,sales_ledger:read,profile:read",200,open
btgpactual.com,mcp.empresas.btgpactual.com,https://mcp.empresas.btgpactual.com/mcp,,,,https://mcp.empresas.btgpactual.com/oauth/authorize,https://mcp.empresas.btgpactual.com/oauth/token,https://mcp.empresas.btgpactual.com/oauth/register,True,https://mcp.empresas.btgpactual.com,https://mcp.empresas.btgpactual.com/.well-known/oauth-protected-resource,btg:banking,401,auth_required
bullseyelocations.com,api.bullseyelocations.com,https://api.bullseyelocations.com/mcp,Bullseye Locations API,1.0,2025-06-18,https://dash.readme.com/oidc/auth,https://dash.readme.com/oidc/token,https://dash.readme.com/oidc/reg,True,https://dash.readme.com/oidc,https://api.bullseyelocations.com/.well-known/oauth-protected-resource/mcp,"openid,offline_access,mcp:read,mcp:write,email,profile",200,open
ckarchive.com,ckarchive.com,https://ckarchive.com/mcp,,,,https://app.kit.com/oauth/authorize,https://api.kit.com/oauth/token,https://app.kit.com/oauth/register,True,https://api.kit.com,https://app.kit.com/.well-known/oauth-protected-resource/mcp,public,401,auth_required
companyweb.be,mcp.companyweb.be,https://mcp.companyweb.be/,,,,https://auth.companyweb.be/oauth/authorize,https://auth.companyweb.be/oauth/token,,False,https://auth.companyweb.be,,mcp_tools,401,auth_required
deque.com,axe.deque.com,https://axe.deque.com/mcp,,,,https://auth.deque.com/auth/realms/axe/protocol/openid-connect/auth,https://auth.deque.com/auth/realms/axe/protocol/openid-connect/token,https://auth.deque.com/auth/realms/axe/clients-registrations/openid-connect,True,https://auth.deque.com/auth/realms/axe,https://axe.deque.com/.well-known/oauth-protected-resource/mcp,"openid,profile,email",401,auth_required
