host,endpoint,confidence,auth,oauth_confirmed,http_status,server_name,server_version,protocol_version,capabilities,authorization_endpoint,token_endpoint,registration_endpoint,dynamic_client_registration,scopes,issuer,prm_url,www_authenticate,discovery_source,platform_auth
fc.de,https://fc.de/api/mcp,A_verified_mcp,none_public,False,200,storefront-renderer,0.1.0,2025-06-18,"logging,prompts,resources,tools",,,,False,,,,,dns_apex_spray,shopify_storefront
cduniverse.com,https://cduniverse.com/api/mcp,A_verified_mcp,oauth,True,200,storefront-renderer,0.1.0,2025-06-18,"logging,prompts,resources,tools",https://shopify.com/authentication/65244889270/oauth/authorize,https://shopify.com/authentication/65244889270/oauth/token,,False,"openid,email,customer-account-api:full,customer-account-mcp-api:full",https://shopify.com/authentication/65244889270,https://cduniverse.com/.well-known/oauth-protected-resource,,dns_apex_spray,shopify_storefront
ericclapton.com,https://ericclapton.com/api/mcp,A_verified_mcp,oauth,True,200,storefront-renderer,0.1.0,2025-06-18,"logging,prompts,resources,tools",https://shopify.com/authentication/66629042498/oauth/authorize,https://shopify.com/authentication/66629042498/oauth/token,,False,"openid,email,customer-account-api:full,customer-account-mcp-api:full",https://shopify.com/authentication/66629042498,https://ericclapton.com/.well-known/oauth-protected-resource,,dns_apex_spray,shopify_storefront
dakine.com,https://dakine.com/api/mcp,A_verified_mcp,oauth,True,200,storefront-renderer,0.1.0,2025-06-18,"logging,prompts,resources,tools",https://shopify.com/authentication/24231411792/oauth/authorize,https://shopify.com/authentication/24231411792/oauth/token,,False,"openid,email,customer-account-api:full,customer-account-mcp-api:full",https://shopify.com/authentication/24231411792,https://dakine.com/.well-known/oauth-protected-resource,,dns_apex_spray,shopify_storefront
frys.com,https://frys.com/api/mcp,A_verified_mcp,oauth,True,200,storefront-renderer,0.1.0,2025-06-18,"logging,prompts,resources,tools",https://shopify.com/authentication/73806938329/oauth/authorize,https://shopify.com/authentication/73806938329/oauth/token,,False,"openid,email,customer-account-api:full,customer-account-mcp-api:full",https://shopify.com/authentication/73806938329,https://frys.com/.well-known/oauth-protected-resource,,dns_apex_spray,shopify_storefront
fantagraphics.com,https://fantagraphics.com/api/mcp,A_verified_mcp,oauth,True,200,storefront-renderer,0.1.0,2025-06-18,"logging,prompts,resources,tools",https://account.fantagraphics.com/authentication/oauth/authorize,https://account.fantagraphics.com/authentication/oauth/token,,False,"openid,email,customer-account-api:full,customer-account-mcp-api:full",https://shopify.com/authentication/32273399944,https://fantagraphics.com/.well-known/oauth-protected-resource,,dns_apex_spray,shopify_storefront
anastasiabeverlyhills.com,https://anastasiabeverlyhills.com/api/mcp,A_verified_mcp,oauth,True,200,storefront-renderer,0.1.0,2025-06-18,"logging,prompts,resources,tools",https://shopify.com/authentication/75102191907/oauth/authorize,https://shopify.com/authentication/75102191907/oauth/token,,False,"openid,email,customer-account-api:full,customer-account-mcp-api:full",https://shopify.com/authentication/75102191907,,,dns_apex_spray,shopify_storefront
gerbergear.com,https://gerbergear.com/api/mcp,A_verified_mcp,oauth,True,200,storefront-renderer,0.1.0,2025-06-18,"logging,prompts,resources,tools",https://account.gerbergear.com/authentication/oauth/authorize,https://account.gerbergear.com/authentication/oauth/token,,False,"openid,email,customer-account-api:full,customer-account-mcp-api:full",https://shopify.com/authentication/74048766124,https://gerbergear.com/.well-known/oauth-protected-resource,,dns_apex_spray,shopify_storefront
choosemuse.com,https://choosemuse.com/api/mcp,A_verified_mcp,none_public,False,200,storefront-renderer,0.1.0,2025-06-18,"logging,prompts,resources,tools",,,,False,,,,,dns_apex_spray,shopify_storefront
fashionnova.com,https://fashionnova.com/api/mcp,A_verified_mcp,oauth,True,200,storefront-renderer,0.1.0,2025-06-18,"logging,prompts,resources,tools",https://account.fashionnova.com/authentication/oauth/authorize,https://account.fashionnova.com/authentication/oauth/token,,False,"openid,email,customer-account-api:full,customer-account-mcp-api:full",https://shopify.com/authentication/2939277,https://fashionnova.com/.well-known/oauth-protected-resource,,dns_apex_spray,shopify_storefront
gardeners.com,https://gardeners.com/api/mcp,A_verified_mcp,oauth,True,200,storefront-renderer,0.1.0,2025-06-18,"logging,prompts,resources,tools",https://shopify.com/authentication/77090324705/oauth/authorize,https://shopify.com/authentication/77090324705/oauth/token,,False,"openid,email,customer-account-api:full,customer-account-mcp-api:full",https://shopify.com/authentication/77090324705,https://gardeners.com/.well-known/oauth-protected-resource,,dns_apex_spray,shopify_storefront
