root_domain,host,endpoint,server_name,server_version,protocol_version,verdict,auth,quality,http_status,dynamic_client_registration,authorization_endpoint,token_endpoint,registration_endpoint,issuer,prm_url,scopes,is_docs_mcp,source_file
1819news.com,1819news.com,https://1819news.com/mcp,,,,auth_required,bearer,bearer,401,False,,,,,,,False,majestic_apex
20minutos.es,20minutos.es,https://20minutos.es/api/mcp,,,,auth_required,bearer,bearer,401,False,,,,,,,False,majestic_apex
21noticias.com,21noticias.com,https://21noticias.com/wp-json/royal-mcp/v1,,,,auth_required,oauth,oauth,401,True,https://21noticias.com/authorize,https://21noticias.com/token,https://21noticias.com/register,https://21noticias.com,https://21noticias.com/.well-known/oauth-protected-resource,mcp:full,False,majestic_prm
23video.com,23video.com,https://23video.com/mcp,,,,mcp_error,,mcp_error,405,False,,,,,,,False,majestic_apex
402oracle.com,402oracle.com,https://402oracle.com/mcp,402oracle,1.3.0,2025-03-26,open,none,open,200,False,,,,,,,False,registry_serp_curated
99bitcoins.com,99bitcoins.com,https://99bitcoins.com/wp-json/mcp/mcp-oauth-server,,,,auth_required,oauth,oauth,403,False,https://99bitcoins.com/oauth/authorize,https://99bitcoins.com/oauth/token,,https://99bitcoins.com,https://99bitcoins.com/.well-known/oauth-protected-resource,mcp,False,majestic_prm
a2awire.com,a2awire.com,https://a2awire.com/mcp/http,,,,auth_required,auth_unknown,auth,401,False,,,,,,,False,registry_serp_curated
aatos.dev,aatos.dev,https://aatos.dev/mcp,ai-agent-tokenized-stock,1.1.0,2025-06-18,open,none,open,200,False,,,,,,,False,registry_serp_curated
dropwatchhq.com,abc.dropwatchhq.com,https://abc.dropwatchhq.com/mcp,distress-abc,1.0.0,2024-11-05,open,none,open,200,False,,,,,,,False,registry_serp_curated
ablakarajanlat.hu,ablakarajanlat.hu,https://ablakarajanlat.hu/api/mcp,ablakarajanlat-mcp,0.1.0,2025-06-18,open,none,open,200,False,,,,,,,False,registry_serp_curated
abundanceapis.com,abundanceapis.com,https://abundanceapis.com/mcp,Abundance APIs,1.0.0,2025-06-18,open,none,open,200,False,,,,,,,False,registry_serp_curated
accrue.cc,accrue.cc,https://accrue.cc/mcp,accrue-mcp,2.0.0,2024-11-05,open,none,open,200,False,,,,,,,False,registry_serp_curated
acousticalsociety.org,acousticalsociety.org,https://acousticalsociety.org/wp-json/mcp/mcp-oauth-server,,,,auth_required,oauth,oauth,403,False,https://acousticalsociety.org/oauth/authorize,https://acousticalsociety.org/oauth/token,,https://acousticalsociety.org,https://acousticalsociety.org/.well-known/oauth-protected-resource,mcp,False,majestic_prm
adfontesmedia.com,adfontesmedia.com,https://adfontesmedia.com/wp-json/mcp/mcp-oauth-server,,,,auth_required,oauth,oauth,401,False,https://adfontesmedia.com/oauth/authorize,https://adfontesmedia.com/oauth/token,,https://adfontesmedia.com,https://adfontesmedia.com/.well-known/oauth-protected-resource,mcp,False,majestic_prm
convrgent.ai,aeo-mcp.convrgent.ai,https://aeo-mcp.convrgent.ai/mcp,aeo-scanner,2.2.5,2025-06-18,open,none,open,200,False,,,,,,,False,registry_serp_curated
afriref.dev,afriref.dev,https://afriref.dev/mcp,afriref,1.0.0,2025-06-18,open,none,open,200,False,,,,,,,False,registry_serp_curated
innergcomplete.com,agency.innergcomplete.com,https://agency.innergcomplete.com/mcp,com.innergcomplete/shearquery,0.1.0,2025-06-18,open,none,open,200,False,,,,,,,False,registry_serp_curated
